WEIGHT(N),HEIGHT(mm),HEAD CIRCUMFERENCE(mm),SHOULDER BREADTH(mm),HAND LENGTH(mm),CHEST CIRCUMFERENCE(mm),WAIST CIRCUMFERENCE(mm),SLEEVE LENGTH(mm),AGE (months)
778,1674,581,421,188,899,946,438.5,142
292,1328,507,312,145,660,605,363,143
315,1375,540,317,142,654,606,387,143
379,1399,557,364,154,758,630,363.5,143
353,1404,522,346,149,711,654,380,143
278,1406,516,306,137,675,530,413,143
356,1478,533,342,155,693,578,413,143
406,1482,517,342,170,684,650,400,143
377,1497,540,356,168,685,612,402.5,143
443,1506,530,364,168,728,707,403,143
548,1521,549,392,173,813,777,391.5,143
544,1694,591,400,196,801,665,451,143
279,1386,515,315,153,615,562,382.5,144
326,1444,517,336,151,669,547,403,144
464,1454,541,383,158,819,771,377.5,144
451,1472,529,361,158,720,657,397.5,144
354,1486,526,340,160,685,580,413,144
396,1494,543,356,168,754,602,401,144
372,1495,548,345,170,698,626,405,144
427,1511,548,358,168,717,657,408.5,144
474,1534,535,384,173,764,718,402,144
382,1548,554,345,172,728,664,429.5,144
291,1399,566,310,158,681,560,386.5,145
409,1408,548,358,159,765,669,366,145
381,1414,521,338,145,713,691,393,145
370,1453,518,345,154,705,653,400,145
436,1473,547,372,168,758,707,382.5,145
422,1476,531,361,172,733,661,385.5,145
436,1480,567,374,180,773,637,373,145
406,1480,542,347,166,721,633,400.5,145
382,1515,557,326,171,691,620,423.5,145
368,1541,518,346,164,701,580,433.5,145
374,1542,546,353,167,688,622,427.5,145
322,1359,507,339,155,661,614,355,146
354,1423,539,343,159,700,615,381,146
318,1428,520,324,163,659,615,389,146
394,1429,537,348,154,710,673,386.5,146
436,1474,525,377,159,758,642,389.5,146
406,1490,539,363,175,754,646,388.5,146
469,1500,521,368,162,740,739,404,146
350,1516,518,357,169,698,618,410.5,146
563,1543,552,393,169,868,903,406,146
432,1546,542,357,168,773,639,426.5,146
441,1553,552,381,169,742,642,417,146
440,1589,540,380,175,757,636,429.5,146
579,1598,543,389,175,797,743,429.5,146
512,1605,553,357,178,791,699,446,146
311,1388,524,308,155,672,573,385,147
342,1392,513,337,151,718,602,376.5,147
350,1412,526,338,159,702,589,378,147
309,1421,526,309,154,649,581,402,147
357,1428,548,364,159,722,639,373,147
345,1436,519,336,153,686,610,397,147
331,1500,534,336,177,672,589,405,147
372,1516,541,341,167,711,618,420.5,147
400,1516,537,352,166,713,628,416,147
465,1523,543,366,165,746,746,413.5,147
416,1526,548,366,173,738,676,407,147
389,1583,532,335,167,689,603,457,147
429,1588,533,366,167,730,678,444,147
471,1617,541,378,177,760,694,442.5,147
686,1724,584,406,200,904,813,459,147
342,1401,535,331,155,681,591,380,148
312,1422,526,338,157,714,586,385,148
359,1453,539,335,152,703,616,407,148
342,1453,533,331,165,654,622,396,148
359,1463,530,364,153,713,611,396.5,148
375,1468,548,345,165,687,612,396.5,148
398,1492,550,352,159,730,644,411,148
334,1496,545,353,161,683,589,410.5,148
357,1511,538,347,154,703,636,428,148
391,1527,560,358,162,694,645,422.5,148
431,1537,536,359,167,730,678,422,148
408,1541,523,358,164,723,609,427.5,148
540,1556,574,367,180,777,730,414.5,148
406,1577,546,340,160,717,641,458.5,148
487,1578,575,369,172,799,738,432.5,148
472,1599,550,370,155,721,671,459.5,148
505,1623,535,383,168,771,681,452,148
473,1654,557,399,174,741,698,453.5,148
311,1405,528,342,161,683,578,370.5,149
434,1413,529,362,153,756,712,372.5,149
350,1414,536,322,152,696,608,394,149
365,1433,525,349,165,717,628,377,149
319,1434,543,329,147,663,546,405.5,149
438,1464,549,374,161,761,644,384,149
435,1471,522,359,154,731,674,402,149
471,1512,550,370,173,774,695,398,149
428,1528,522,362,166,731,654,417,149
458,1571,514,369,171,755,671,430,149
446,1590,546,373,172,776,692,436.5,149
431,1595,552,363,181,781,668,435,149
471,1600,535,379,161,779,637,449.5,149
555,1617,565,384,174,827,702,442.5,149
326,1364,535,349,149,683,618,358.5,150
378,1463,534,355,162,717,637,392,150
355,1470,534,320,155,711,588,420,150
447,1487,566,363,164,743,659,398,150
341,1500,531,338,162,670,570,419,150
469,1529,548,369,172,765,684,408,150
463,1554,549,360,167,745,709,430,150
534,1580,570,398,168,830,778,423,150
546,1588,535,389,170,788,732,429.5,150
470,1432,541,367,162,771,772,370.5,151
388,1432,535,363,162,738,616,372.5,151
431,1442,539,346,156,772,683,392,151
340,1443,524,363,163,686,616,377,151
411,1477,562,364,161,737,637,395.5,151
519,1515,526,386,159,777,818,405.5,151
428,1517,531,377,176,740,623,394,151
515,1524,538,371,169,817,750,407.5,151
434,1532,527,356,170,765,665,418,151
379,1541,546,355,166,694,597,427,151
462,1541,534,373,165,766,678,419,151
405,1545,535,351,176,787,655,421,151
565,1594,530,396,181,772,813,418,151
451,1595,538,373,168,786,635,443,151
448,1596,556,366,180,757,690,435,151
506,1608,555,372,175,774,692,443,151
571,1693,539,405,188,813,707,456,151
391,1387,520,331,152,714,660,376,152
318,1413,520,336,154,666,567,384.5,152
337,1456,517,352,150,679,586,402,152
468,1510,532,373,153,764,721,415.5,152
447,1515,499,360,160,761,697,417.5,152
573,1515,553,408,165,898,881,388.5,152
387,1519,532,358,164,738,593,416.5,152
437,1524,563,344,168,720,640,422,152
452,1542,529,378,178,769,668,404,152
516,1604,555,383,175,774,691,435.5,152
738,1798,573,400,195,874,775,504,152
302,1434,540,323,160,634,586,395.5,153
413,1468,539,363,162,752,666,390.5,153
346,1475,528,350,158,696,570,404.5,153
429,1499,568,375,171,761,668,391,153
413,1550,516,380,186,751,624,399,153
